Global Loss,Global Accuracy
0.8182929158210754,0.7840999960899353
0.8171279430389404,0.7720000147819519
0.7315083146095276,0.8084999918937683
0.6538867950439453,0.9023000001907349
0.7729241847991943,0.7757999897003174
0.9937653541564941,0.6008999943733215
0.7892808318138123,0.8129000067710876
0.7831217050552368,0.8294000029563904
0.7448183298110962,0.8715000152587891
0.8303558826446533,0.7681000232696533
0.814149022102356,0.807699978351593
0.7197844982147217,0.8537999987602234
0.8506148457527161,0.7865999937057495
0.7673635482788086,0.8230999708175659
0.738715648651123,0.8694999814033508
0.8119059801101685,0.7967000007629395
0.7291970252990723,0.8547999858856201
0.8351434469223022,0.7720999717712402
0.8447325229644775,0.7696999907493591
0.7802867889404297,0.7849000096321106
0.696336567401886,0.8650000095367432
0.8080669641494751,0.7871999740600586
0.7234593629837036,0.8111000061035156
0.7458535432815552,0.817799985408783
0.8383774161338806,0.7573000192642212
0.843058705329895,0.7530999779701233
0.7667950987815857,0.8582000136375427
0.6972503066062927,0.8230000138282776
0.7604556083679199,0.8123999834060669
0.7136682271957397,0.829200029373169
0.9208109378814697,0.7775999903678894
0.7661007046699524,0.7770000100135803
0.8378516435623169,0.7529000043869019
0.6606114506721497,0.8745999932289124
0.8885854482650757,0.7148000001907349
0.7599897980690002,0.8481000065803528
0.7426164746284485,0.8565999865531921
0.83505779504776,0.7954000234603882
0.7912634611129761,0.8267999887466431
0.7499512434005737,0.8098999857902527
0.8025466799736023,0.8015000224113464
0.7278055548667908,0.8614000082015991
0.7552679777145386,0.8500999808311462
0.8507011532783508,0.7827000021934509
0.7872686982154846,0.8116000294685364
0.8114215135574341,0.7595999836921692
0.6875240206718445,0.8406999707221985
0.634682834148407,0.9060999751091003
0.8657354712486267,0.7454000115394592
0.9446250796318054,0.6818000078201294
0.7380056977272034,0.8361999988555908
0.7035103440284729,0.8373000025749207
0.827135443687439,0.7610999941825867
0.6585311889648438,0.8913000226020813
0.6874839067459106,0.892799973487854
0.6036524772644043,0.9118000268936157
0.962295413017273,0.7113999724388123
0.7396425008773804,0.8435999751091003
0.7586603760719299,0.8406999707221985
0.8580845594406128,0.7365999817848206
0.7717881798744202,0.815500020980835
0.7463559508323669,0.8384000062942505
0.8903869986534119,0.7601000070571899
